contest,season,week,game_id,away_team,home_team,circa_away_line,circa_home_line
Circa Sports Million VIII,2026,3,2026_3_ATL_GB,ATL,GB,4.5,-4.5
Circa Sports Million VIII,2026,3,2026_3_SEA_WAS,SEA,WAS,-7.5,7.5
Circa Sports Million VIII,2026,3,2026_3_CIN_PIT,CIN,PIT,-3.5,3.5
Circa Sports Million VIII,2026,3,2026_3_NYJ_DET,NYJ,DET,6.5,-6.5
Circa Sports Million VIII,2026,3,2026_3_TEN_NYG,TEN,NYG,2.5,-2.5
Circa Sports Million VIII,2026,3,2026_3_NE_JAX,NE,JAX,3,-3
Circa Sports Million VIII,2026,3,2026_3_KC_MIA,KC,MIA,-11.5,11.5
Circa Sports Million VIII,2026,3,2026_3_HOU_IND,HOU,IND,-1.5,1.5
Circa Sports Million VIII,2026,3,2026_3_CAR_CLE,CAR,CLE,-2.5,2.5
Circa Sports Million VIII,2026,3,2026_3_LAC_BUF,LAC,BUF,7,-7
Circa Sports Million VIII,2026,3,2026_3_MIN_TB,MIN,TB,-1,1
Circa Sports Million VIII,2026,3,2026_3_ARI_SF,ARI,SF,8.5,-8.5
Circa Sports Million VIII,2026,3,2026_3_LV_NO,LV,NO,3,-3
Circa Sports Million VIII,2026,3,2026_3_BAL_DAL,BAL,DAL,-3,3
Circa Sports Million VIII,2026,3,2026_3_LA_DEN,LA,DEN,-2.5,2.5
Circa Sports Million VIII,2026,3,2026_3_PHI_CHI,PHI,CHI,-4.5,4.5
