"game_id","season","week","away_team","home_team","spread_line","total_line"
"2026_1_NE_SEA","2026","1","NE","SEA","3","44.5"
"2026_1_SF_LA","2026","1","SF","LA","3.5","48.5"
"2026_1_ATL_PIT","2026","1","ATL","PIT","6","41.5"
"2026_1_BAL_IND","2026","1","BAL","IND","-3.5","47.5"
"2026_1_BUF_HOU","2026","1","BUF","HOU","-1.5","44.5"
"2026_1_CHI_CAR","2026","1","CHI","CAR","-3","47.5"
"2026_1_CLE_JAX","2026","1","CLE","JAX","8.5","39.5"
"2026_1_NO_DET","2026","1","NO","DET","7","49.5"
"2026_1_NYJ_TEN","2026","1","NYJ","TEN","1.5","38.5"
"2026_1_TB_CIN","2026","1","TB","CIN","3.5","50.5"
"2026_1_ARI_LAC","2026","1","ARI","LAC","9.5","47.5"
"2026_1_GB_MIN","2026","1","GB","MIN","1.5","46.5"
"2026_1_MIA_LV","2026","1","MIA","LV","3","40.5"
"2026_1_WAS_PHI","2026","1","WAS","PHI","6","44.5"
"2026_1_DAL_NYG","2026","1","DAL","NYG","-3","48.5"
"2026_1_DEN_KC","2026","1","DEN","KC","2.5","43.5"
"2026_2_DET_BUF","2026","2","DET","BUF","3","52.5"
"2026_2_CAR_ATL","2026","2","CAR","ATL","1.5","44.5"
"2026_2_CIN_HOU","2026","2","CIN","HOU","2.5","46.5"
"2026_2_CLE_TB","2026","2","CLE","TB","6.5","42.5"
"2026_2_GB_NYJ","2026","2","GB","NYJ","-5.5","42.5"
"2026_2_MIN_CHI","2026","2","MIN","CHI","3.5","45.5"
"2026_2_NO_BAL","2026","2","NO","BAL","7.5","46.5"
"2026_2_PHI_TEN","2026","2","PHI","TEN","-4.5","42.5"
"2026_2_PIT_NE","2026","2","PIT","NE","4.5","43.5"
"2026_2_JAX_DEN","2026","2","JAX","DEN","3","43.5"
"2026_2_LV_LAC","2026","2","LV","LAC","8.5","42.5"
"2026_2_MIA_SF","2026","2","MIA","SF","10.5","46.5"
"2026_2_SEA_ARI","2026","2","SEA","ARI","-10","44.5"
"2026_2_WAS_DAL","2026","2","WAS","DAL","4.5","51.5"
"2026_2_IND_KC","2026","2","IND","KC","6.5","47.5"
"2026_2_NYG_LA","2026","2","NYG","LA","8.5","48.5"
"2026_3_ATL_GB","2026","3","ATL","GB","7.5","46.5"
"2026_3_CAR_CLE","2026","3","CAR","CLE","-1.5","39.5"
"2026_3_CIN_PIT","2026","3","CIN","PIT","-1.5","46.5"
"2026_3_HOU_IND","2026","3","HOU","IND","-1.5","45.5"
"2026_3_KC_MIA","2026","3","KC","MIA","-7.5","44.5"
"2026_3_LAC_BUF","2026","3","LAC","BUF","3","48.5"
"2026_3_NE_JAX","2026","3","NE","JAX","1.5","45.5"
"2026_3_NYJ_DET","2026","3","NYJ","DET","9.5","45.5"
"2026_3_SEA_WAS","2026","3","SEA","WAS","-3.5","46.5"
"2026_3_TEN_NYG","2026","3","TEN","NYG","3","44.5"
"2026_3_ARI_SF","2026","3","ARI","SF","11.5","46.5"
"2026_3_MIN_TB","2026","3","MIN","TB","1.5","44.5"
"2026_3_BAL_DAL","2026","3","BAL","DAL","-2.5","51.5"
"2026_3_LV_NO","2026","3","LV","NO","3.5","42.5"
"2026_3_LA_DEN","2026","3","LA","DEN","-3","45.5"
"2026_3_PHI_CHI","2026","3","PHI","CHI","1.5","46.5"
"2026_4_PIT_CLE","2026","4","PIT","CLE","-2.5","40.5"
"2026_4_IND_WAS","2026","4","IND","WAS","1.5","50.5"
"2026_4_ARI_NYG","2026","4","ARI","NYG","7","45.5"
"2026_4_DAL_HOU","2026","4","DAL","HOU","2.5","47.5"
"2026_4_GB_TB","2026","4","GB","TB","-1.5","47.5"
"2026_4_JAX_CIN","2026","4","JAX","CIN","2.5","51.5"
"2026_4_LA_PHI","2026","4","LA","PHI","-1.5","47.5"
"2026_4_NE_BUF","2026","4","NE","BUF","3","49.5"
"2026_4_NYJ_CHI","2026","4","NYJ","CHI","8.5","45.5"
"2026_4_TEN_BAL","2026","4","TEN","BAL","8.5","47.5"
"2026_4_MIA_MIN","2026","4","MIA","MIN","7.5","43.5"
"2026_4_DEN_SF","2026","4","DEN","SF","2.5","46.5"
"2026_4_KC_LV","2026","4","KC","LV","-5.5","43.5"
"2026_4_LAC_SEA","2026","4","LAC","SEA","3","45.5"
"2026_4_DET_CAR","2026","4","DET","CAR","-3","47.5"
"2026_4_ATL_NO","2026","4","ATL","NO","2.5","45.5"
"2026_5_TB_DAL","2026","5","TB","DAL","3.5","52.5"
"2026_5_PHI_JAX","2026","5","PHI","JAX","-1.5","45.5"
"2026_5_CIN_MIA","2026","5","CIN","MIA","-6","49.5"
"2026_5_CLE_NYJ","2026","5","CLE","NYJ","1.5","39.5"
"2026_5_HOU_TEN","2026","5","HOU","TEN","-3.5","43.5"
"2026_5_IND_PIT","2026","5","IND","PIT","2.5","47.5"
"2026_5_LV_NE","2026","5","LV","NE","8.5","44.5"
"2026_5_MIN_NO","2026","5","MIN","NO","-1.5","44.5"
"2026_5_NYG_WAS","2026","5","NYG","WAS","1.5","48.5"
"2026_5_DEN_LAC","2026","5","DEN","LAC","2.5","44.5"
"2026_5_CHI_GB","2026","5","CHI","GB","3","49.5"
"2026_5_DET_ARI","2026","5","DET","ARI","-8.5","48.5"
"2026_5_SF_SEA","2026","5","SF","SEA","3.5","48.5"
"2026_5_BAL_ATL","2026","5","BAL","ATL","-4.5","48.5"
"2026_5_BUF_LA","2026","5","BUF","LA","3","53.5"
"2026_6_SEA_DEN","2026","6","SEA","DEN","-1.5","43.5"
"2026_6_HOU_JAX","2026","6","HOU","JAX","1.5","42.5"
"2026_6_BAL_CLE","2026","6","BAL","CLE","-6.5","44.5"
"2026_6_CAR_PHI","2026","6","CAR","PHI","6.5","43.5"
"2026_6_CHI_ATL","2026","6","CHI","ATL","-3","47.5"
