game_id,Mid-week Spread,Mid-week Total
2024_01_BAL_KC,2.5,46
2024_01_GB_PHI,2,49.5
2024_01_PIT_ATL,3.5,43
2024_01_ARI_BUF,6.5,46
2024_01_TEN_CHI,3.5,43
2024_01_NE_CIN,8.5,40.5
2024_01_HOU_IND,-2.5,49
2024_01_JAX_MIA,3.5,49.5
2024_01_CAR_NO,4,41.5
2024_01_MIN_NYG,-1,42.5
2024_01_LV_LAC,3,41
2024_01_DEN_SEA,6,42
2024_01_DAL_CLE,2,42
2024_01_WAS_TB,3.5,42
2024_01_LA_DET,3.5,54
2024_01_NYJ_SF,4.5,43
2024_02_BUF_MIA,2.5,48.5
2024_02_LV_BAL,8,41
2024_02_LAC_CAR,-6,39
2024_02_NO_DAL,6.5,47
2024_02_TB_DET,7,51.5
2024_02_IND_GB,-2.5,41.5
2024_02_CLE_JAX,3,41.5
2024_02_SF_MIN,-5,46.5
2024_02_SEA_NE,-3.5,39
2024_02_NYJ_TEN,-4,41.5
2024_02_NYG_WAS,1.5,42.5
2024_02_LA_ARI,1,47.5
2024_02_PIT_DEN,-2.5,36.5
2024_02_CIN_KC,5.5,47.5
2024_02_CHI_HOU,6.5,45.5
2024_02_ATL_PHI,6.5,46.5
2024_03_NE_NYJ,6,39
2024_03_NYG_CLE,6.5,38
2024_03_CHI_IND,1.5,43
2024_03_HOU_MIN,-2,46
2024_03_PHI_NO,3,49
2024_03_LAC_PIT,1.5,36
2024_03_DEN_TB,6.5,40.5
2024_03_GB_TEN,2,37
2024_03_CAR_LV,5,40
2024_03_MIA_SEA,4.5,41.5
2024_03_DET_ARI,-3,51.5
2024_03_BAL_DAL,-1,47.5
2024_03_SF_LA,-7,44.5
2024_03_KC_ATL,-3.5,46
2024_03_JAX_BUF,5.5,46.5
2024_03_WAS_CIN,7.5,46
2024_04_DAL_NYG,-5,45
2024_04_NO_ATL,2.5,41.5
2024_04_CIN_CAR,-4.5,47
2024_04_LA_CHI,3,40
2024_04_MIN_GB,2.5,44
2024_04_JAX_HOU,6,44.5
2024_04_PIT_IND,-1.5,40
2024_04_DEN_NYJ,7.5,39.5
2024_04_PHI_TB,-1.5,42
2024_04_WAS_ARI,3.5,49
2024_04_NE_SF,10.5,41.5
2024_04_KC_LAC,-7,41.5
2024_04_CLE_LV,1.5,36.5
2024_04_BUF_BAL,2.5,46.5
2024_04_TEN_MIA,1.5,37
2024_04_SEA_DET,3.5,46.5
2024_05_TB_ATL,1.5,44
2024_05_NYJ_MIN,2.5,42
2024_05_CAR_CHI,3.5,40
2024_05_BAL_CIN,-2.5,48.5
2024_05_BUF_HOU,0.01,48
2024_05_IND_JAX,2.5,45
2024_05_MIA_NE,0.01,37
2024_05_CLE_WAS,3,44
2024_05_LV_DEN,3,36
2024_05_ARI_SF,7,48.5
2024_05_GB_LA,-3.5,49.5
2024_05_NYG_SEA,6.5,42.5
2024_05_DAL_PIT,2.5,43.5
2024_05_NO_KC,5.5,43
2024_06_SF_SEA,-3.5,49
2024_06_JAX_CHI,2,44.5
2024_06_WAS_BAL,6.5,51.5
2024_06_ARI_GB,4.5,47
2024_06_HOU_NE,-7,38.5
2024_06_TB_NO,-3,42.5
2024_06_CLE_PHI,10,42
2024_06_IND_TEN,2.5,42
2024_06_LAC_DEN,-3,37
2024_06_PIT_LV,-3,36.5
2024_06_ATL_CAR,-6,45.5
2024_06_DET_DAL,-3,52.5
2024_06_CIN_NYG,-3.5,46
2024_06_BUF_NYJ,-2.5,42
2024_07_DEN_NO,-3,37
2024_07_NE_JAX,5.5,42
2024_07_SEA_ATL,3,51.5
2024_07_TEN_BUF,9.5,41
2024_07_CIN_CLE,-5.5,42
2024_07_HOU_GB,2.5,48
2024_07_MIA_IND,3,44
2024_07_DET_MIN,1.5,50.5
2024_07_PHI_NYG,-3.5,42
2024_07_LV_LA,6.5,43
2024_07_CAR_WAS,7.5,51
2024_07_KC_SF,1.5,47.5
2024_07_NYJ_PIT,-2,40
2024_07_BAL_TB,-3.5,51
2024_07_LAC_ARI,-2.5,44
2024_08_MIN_LA,-3,47.5
2024_08_BAL_CLE,-8.5,44.5
2024_08_TEN_DET,11.5,45
2024_08_IND_HOU,5,45
2024_08_GB_JAX,-4,49
2024_08_ARI_MIA,3.5,46.5
2024_08_NYJ_NE,-7,41
2024_08_ATL_TB,-2.5,47
2024_08_CHI_WAS,-2.5,46.5
2024_08_NO_LAC,7.5,41.5
2024_08_BUF_SEA,-3,45.5
2024_08_PHI_CIN,2.5,47.5
2024_08_CAR_DEN,9.5,40.5
2024_08_KC_LV,-8.5,42
2024_08_DAL_SF,4,48
2024_08_NYG_PIT,6,37.5
2024_09_HOU_NYJ,1.5,43.5
2024_09_DAL_ATL,3,52
2024_09_DEN_BAL,9,46.5
2024_09_MIA_BUF,6,49
2024_09_NO_CAR,-7,43.5
2024_09_LV_CIN,7,45
2024_09_LAC_CLE,-1.5,42.5
2024_09_IND_MIN,5.5,47
2024_09_WAS_NYG,-3.5,44.5
2024_09_NE_TEN,3,38.5
2024_09_CHI_ARI,1.5,44.5
2024_09_DET_GB,-3,47.5
2024_09_LA_SEA,-1.5,48.5
2024_09_JAX_PHI,7,46
2024_09_TB_KC,8.5,45.5
2024_10_CIN_BAL,6,53
2024_10_NYG_CAR,-6.5,40.5
2024_10_NE_CHI,6.5,37.5
2024_10_BUF_IND,-4,46.5
2024_10_MIN_JAX,-7,42.5
2024_10_DEN_KC,8.5,42.5
2024_10_ATL_NO,-3.5,46.5
2024_10_SF_TB,-6,50.5
2024_10_PIT_WAS,2.5,45
2024_10_TEN_LAC,7,40
2024_10_NYJ_ARI,-1.5,45.5
2024_10_PHI_DAL,-7.5,44.5
2024_10_DET_HOU,-3.5,49
2024_10_MIA_LA,1.5,49.5
2024_11_WAS_PHI,3.5,49.5
2024_11_GB_CHI,-5.5,41
2024_11_JAX_DET,14,47.5
2024_11_LV_MIA,7,43.5
2024_11_LA_NE,-4.5,42.5
2024_11_CLE_NO,1,44
2024_11_BAL_PIT,-3,48
2024_11_MIN_TEN,-6,40
2024_11_ATL_DEN,2.5,44.5
2024_11_SEA_SF,6.5,49
2024_11_KC_BUF,2.5,46.5
2024_11_CIN_LAC,2,48
2024_11_IND_NYJ,4,43
2024_11_HOU_DAL,-7,41.5
2024_12_PIT_CLE,-3.5,36.5
2024_12_KC_CAR,-10.5,43
2024_12_MIN_CHI,-3.5,39.5
2024_12_TEN_HOU,7.5,40.5
2024_12_DET_IND,-7.5,50.5
2024_12_NE_MIA,7,46
2024_12_TB_NYG,-6,40.5
2024_12_DAL_WAS,10,45
2024_12_DEN_LV,-6,41.5
2024_12_SF_GB,2,44.5
2024_12_ARI_SEA,0.01,46.5
2024_12_PHI_LA,-3,49
2024_12_BAL_LAC,-2.5,51
2024_13_CHI_DET,9.5,47.5
2024_13_NYG_DAL,3.5,39
2024_13_MIA_GB,3,47.5
2024_13_LV_KC,12.5,42
2024_13_LAC_ATL,-1.5,47
2024_13_PIT_CIN,3,46
2024_13_HOU_JAX,-4.5,44.5
2024_13_ARI_MIN,3.5,45.5
2024_13_IND_NE,-2.5,41.5
2024_13_SEA_NYJ,-1.5,41.5
2024_13_TEN_WAS,6,45
2024_13_TB_CAR,-5.5,46
2024_13_LA_NO,-2.5,48.5
2024_13_PHI_BAL,3,50
2024_13_SF_BUF,7,45
2024_13_CLE_DEN,5.5,41.5
2024_14_GB_DET,3.5,53
2024_14_NYJ_MIA,5.5,45
2024_14_ATL_MIN,5.5,46.5
2024_14_NO_NYG,-4.5,41
2024_14_CAR_PHI,12.5,44.5
2024_14_CLE_PIT,7,43
2024_14_LV_TB,7,47
2024_14_JAX_TEN,3.5,40
2024_14_SEA_ARI,3,45.5
2024_14_BUF_LA,-5.5,49.5
2024_14_CHI_SF,4,43.5
2024_14_LAC_KC,4,43.5
2024_14_CIN_DAL,-6,51
2024_15_LA_SF,3,48.5
2024_15_DAL_CAR,2.5,42
2024_15_KC_CLE,-4,41.5
2024_15_MIA_HOU,2.5,46.5
2024_15_NYJ_JAX,-3,41.5
2024_15_WAS_NO,-7.5,44.5
2024_15_BAL_NYG,-16.5,43.5
2024_15_CIN_TEN,-5,46.5
