season,week,team,conference,division,off_injury_adj,def_injury_adj
2026,1,ARI,NFC,NFC West,0,0
2026,1,ATL,NFC,NFC South,0,0
2026,1,BAL,AFC,AFC North,0,0
2026,1,BUF,AFC,AFC East,0,0
2026,1,CAR,NFC,NFC South,0,0
2026,1,CHI,NFC,NFC North,0,0
2026,1,CIN,AFC,AFC North,0,0
2026,1,CLE,AFC,AFC North,0,0
2026,1,DAL,NFC,NFC East,0,0
2026,1,DEN,AFC,AFC West,0,0
2026,1,DET,NFC,NFC North,0,0
2026,1,GB,NFC,NFC North,0,0
2026,1,HOU,AFC,AFC South,0,0
2026,1,IND,AFC,AFC South,0,0
2026,1,JAX,AFC,AFC South,0,0
2026,1,KC,AFC,AFC West,0,0
2026,1,LA,NFC,NFC West,0,0
2026,1,LAC,AFC,AFC West,0,0
2026,1,LV,AFC,AFC West,0,0
2026,1,MIA,AFC,AFC East,0,0
2026,1,MIN,NFC,NFC North,0,0
2026,1,NE,AFC,AFC East,0,0
2026,1,NO,NFC,NFC South,0,0
2026,1,NYG,NFC,NFC East,0,0
2026,1,NYJ,AFC,AFC East,0,0
2026,1,PHI,NFC,NFC East,0,0
2026,1,PIT,AFC,AFC North,0,0
2026,1,SEA,NFC,NFC West,0,0
2026,1,SF,NFC,NFC West,0,0
2026,1,TB,NFC,NFC South,0,0
2026,1,TEN,AFC,AFC South,0,0
2026,1,WAS,NFC,NFC East,0,0
2026,2,ARI,NFC,NFC West,0,0
2026,2,ATL,NFC,NFC South,0,0
2026,2,BAL,AFC,AFC North,0,0
2026,2,BUF,AFC,AFC East,0,0
2026,2,CAR,NFC,NFC South,0,0
2026,2,CHI,NFC,NFC North,0,0
2026,2,CIN,AFC,AFC North,0,0
2026,2,CLE,AFC,AFC North,0,0
2026,2,DAL,NFC,NFC East,0,0
2026,2,DEN,AFC,AFC West,0,0
2026,2,DET,NFC,NFC North,0,0
2026,2,GB,NFC,NFC North,0,0
2026,2,HOU,AFC,AFC South,0,0
2026,2,IND,AFC,AFC South,0,0
2026,2,JAX,AFC,AFC South,0,0
2026,2,KC,AFC,AFC West,0,0
2026,2,LA,NFC,NFC West,0,0
2026,2,LAC,AFC,AFC West,0,0
2026,2,LV,AFC,AFC West,0,0
2026,2,MIA,AFC,AFC East,0,0
2026,2,MIN,NFC,NFC North,0,0
2026,2,NE,AFC,AFC East,0,0
2026,2,NO,NFC,NFC South,0,0
2026,2,NYG,NFC,NFC East,0,0
2026,2,NYJ,AFC,AFC East,0,0
2026,2,PHI,NFC,NFC East,0,0
2026,2,PIT,AFC,AFC North,0,0
2026,2,SEA,NFC,NFC West,0,0
2026,2,SF,NFC,NFC West,0,0
2026,2,TB,NFC,NFC South,0,0
2026,2,TEN,AFC,AFC South,0,0
2026,2,WAS,NFC,NFC East,0,0
2026,3,ARI,NFC,NFC West,0,0
2026,3,ATL,NFC,NFC South,0,0
2026,3,BAL,AFC,AFC North,0,0
2026,3,BUF,AFC,AFC East,0,0
2026,3,CAR,NFC,NFC South,0,0
2026,3,CHI,NFC,NFC North,0,0
2026,3,CIN,AFC,AFC North,0,0
2026,3,CLE,AFC,AFC North,0,0
2026,3,DAL,NFC,NFC East,0,0
2026,3,DEN,AFC,AFC West,0,0
2026,3,DET,NFC,NFC North,0,0
2026,3,GB,NFC,NFC North,0,0
2026,3,HOU,AFC,AFC South,0,0
2026,3,IND,AFC,AFC South,0,0
2026,3,JAX,AFC,AFC South,0,0
2026,3,KC,AFC,AFC West,0,0
2026,3,LA,NFC,NFC West,0,0
2026,3,LAC,AFC,AFC West,0,0
2026,3,LV,AFC,AFC West,0,0
2026,3,MIA,AFC,AFC East,0,0
2026,3,MIN,NFC,NFC North,0,0
2026,3,NE,AFC,AFC East,0,0
2026,3,NO,NFC,NFC South,0,0
2026,3,NYG,NFC,NFC East,0,0
2026,3,NYJ,AFC,AFC East,0,0
2026,3,PHI,NFC,NFC East,0,0
2026,3,PIT,AFC,AFC North,0,0
2026,3,SEA,NFC,NFC West,0,0
2026,3,SF,NFC,NFC West,0,0
2026,3,TB,NFC,NFC South,0,0
2026,3,TEN,AFC,AFC South,0,0
2026,3,WAS,NFC,NFC East,0,0
2026,4,ARI,NFC,NFC West,0,0
2026,4,ATL,NFC,NFC South,0,0
2026,4,BAL,AFC,AFC North,0,0
2026,4,BUF,AFC,AFC East,0,0
2026,4,CAR,NFC,NFC South,0,0
2026,4,CHI,NFC,NFC North,0,0
2026,4,CIN,AFC,AFC North,0,0
2026,4,CLE,AFC,AFC North,0,0
2026,4,DAL,NFC,NFC East,0,0
2026,4,DEN,AFC,AFC West,0,0
2026,4,DET,NFC,NFC North,0,0
2026,4,GB,NFC,NFC North,0,0
2026,4,HOU,AFC,AFC South,0,0
2026,4,IND,AFC,AFC South,0,0
2026,4,JAX,AFC,AFC South,0,0
2026,4,KC,AFC,AFC West,0,0
2026,4,LA,NFC,NFC West,0,0
2026,4,LAC,AFC,AFC West,0,0
2026,4,LV,AFC,AFC West,0,0
2026,4,MIA,AFC,AFC East,0,0
2026,4,MIN,NFC,NFC North,0,0
2026,4,NE,AFC,AFC East,0,0
2026,4,NO,NFC,NFC South,0,0
2026,4,NYG,NFC,NFC East,0,0
2026,4,NYJ,AFC,AFC East,0,0
