game_id_input,season,week,home_team,away_team,injury_adj
2024_01_BAL_KC,2024,1,KC,BAL,0
2024_01_GB_PHI,2024,1,PHI,GB,0
2024_01_PIT_ATL,2024,1,ATL,PIT,0
2024_01_ARI_BUF,2024,1,BUF,ARI,0
2024_01_TEN_CHI,2024,1,CHI,TEN,0
2024_01_NE_CIN,2024,1,CIN,NE,-2
2024_01_HOU_IND,2024,1,IND,HOU,0
2024_01_JAX_MIA,2024,1,MIA,JAX,0
2024_01_CAR_NO,2024,1,NO,CAR,0
2024_01_MIN_NYG,2024,1,NYG,MIN,0
2024_01_LV_LAC,2024,1,LAC,LV,0
2024_01_DEN_SEA,2024,1,SEA,DEN,0
2024_01_DAL_CLE,2024,1,CLE,DAL,0
2024_01_WAS_TB,2024,1,TB,WAS,0
2024_01_LA_DET,2024,1,DET,LA,0
2024_01_NYJ_SF,2024,1,SF,NYJ,0
2024_02_BUF_MIA,2024,2,MIA,BUF,0
2024_02_LV_BAL,2024,2,BAL,LV,0
2024_02_LAC_CAR,2024,2,CAR,LAC,0
2024_02_NO_DAL,2024,2,DAL,NO,0.8
2024_02_TB_DET,2024,2,DET,TB,0
2024_02_IND_GB,2024,2,GB,IND,-9.3
2024_02_CLE_JAX,2024,2,JAX,CLE,0
2024_02_SF_MIN,2024,2,MIN,SF,1.2
2024_02_SEA_NE,2024,2,NE,SEA,-0.2
2024_02_NYJ_TEN,2024,2,TEN,NYJ,0
2024_02_NYG_WAS,2024,2,WAS,NYG,0
2024_02_LA_ARI,2024,2,ARI,LA,5.4
2024_02_PIT_DEN,2024,2,DEN,PIT,0
2024_02_CIN_KC,2024,2,KC,CIN,-0.1
2024_02_CHI_HOU,2024,2,HOU,CHI,0
2024_02_ATL_PHI,2024,2,PHI,ATL,-2.7
2024_03_NE_NYJ,2024,3,NYJ,NE,-0.3
2024_03_NYG_CLE,2024,3,CLE,NYG,-3.8
2024_03_CHI_IND,2024,3,IND,CHI,-0.9
2024_03_HOU_MIN,2024,3,MIN,HOU,-0.1
2024_03_PHI_NO,2024,3,NO,PHI,1.7
2024_03_LAC_PIT,2024,3,PIT,LAC,0
2024_03_DEN_TB,2024,3,TB,DEN,0
2024_03_GB_TEN,2024,3,TEN,GB,5.8
2024_03_CAR_LV,2024,3,LV,CAR,-4.2
2024_03_MIA_SEA,2024,3,SEA,MIA,8.4
2024_03_DET_ARI,2024,3,ARI,DET,-0.7
2024_03_BAL_DAL,2024,3,DAL,BAL,-0.1
2024_03_SF_LA,2024,3,LA,SF,-2.3
2024_03_KC_ATL,2024,3,ATL,KC,-0.3
2024_03_JAX_BUF,2024,3,BUF,JAX,0
2024_03_WAS_CIN,2024,3,CIN,WAS,0.2
2024_04_DAL_NYG,2024,4,NYG,DAL,-0.3
2024_04_NO_ATL,2024,4,ATL,NO,-0.6
2024_04_CIN_CAR,2024,4,CAR,CIN,3.7
2024_04_LA_CHI,2024,4,CHI,LA,3.7
2024_04_MIN_GB,2024,4,GB,MIN,1.3
2024_04_JAX_HOU,2024,4,HOU,JAX,0
2024_04_PIT_IND,2024,4,IND,PIT,-0.7
2024_04_DEN_NYJ,2024,4,NYJ,DEN,0
2024_04_PHI_TB,2024,4,TB,PHI,3.8
