game_id,season,week,home_team,away_team,home_injury_adj,away_injury_adj,home_off_injury_adj,home_def_injury_adj,away_off_injury_adj,away_def_injury_adj
2025_01_DAL_PHI,2025,1,PHI,DAL,,,,,,
2025_01_KC_LAC,2025,1,LAC,KC,,,,,,
2025_01_TB_ATL,2025,1,ATL,TB,0,-2,,,-2,
2025_01_CIN_CLE,2025,1,CLE,CIN,,,,,,
2025_01_MIA_IND,2025,1,IND,MIA,,,,,,
2025_01_CAR_JAX,2025,1,JAX,CAR,,,,,,
2025_01_LV_NE,2025,1,NE,LV,,,,,,
2025_01_ARI_NO,2025,1,NO,ARI,,,,,,
2025_01_PIT_NYJ,2025,1,NYJ,PIT,,,,,,
2025_01_NYG_WAS,2025,1,WAS,NYG,,,,,,
2025_01_TEN_DEN,2025,1,DEN,TEN,,,,,,
2025_01_SF_SEA,2025,1,SEA,SF,,,,,,
2025_01_DET_GB,2025,1,GB,DET,,,,,,
2025_01_HOU_LA,2025,1,LAR,HOU,,,,,,
2025_01_BAL_BUF,2025,1,BUF,BAL,,,,,,
2025_01_MIN_CHI,2025,1,CHI,MIN,,,,,,
2025_02_WAS_GB,2025,2,GB,WAS,,0,,,,
2025_02_CLE_BAL,2025,2,BAL,CLE,,0,,,,
2025_02_JAX_CIN,2025,2,CIN,JAX,,0,,,,
2025_02_NYG_DAL,2025,2,DAL,NYG,,0,,,,
2025_02_CHI_DET,2025,2,DET,CHI,,0,,,,
2025_02_NE_MIA,2025,2,MIA,NE,,0,,,,
2025_02_SF_NO,2025,2,NO,SF,,-4,,,-4,
2025_02_BUF_NYJ,2025,2,NYJ,BUF,,0,,,,
2025_02_SEA_PIT,2025,2,PIT,SEA,,0,,,,
2025_02_LA_TEN,2025,2,TEN,LAR,,0,,,,
2025_02_CAR_ARI,2025,2,ARI,CAR,,0,,,,
2025_02_DEN_IND,2025,2,IND,DEN,,0,,,,
2025_02_PHI_KC,2025,2,KC,PHI,-2,0,-2,,,
2025_02_ATL_MIN,2025,2,MIN,ATL,,0,,,,
2025_02_TB_HOU,2025,2,HOU,TB,,-2,,,-2,
2025_02_LAC_LV,2025,2,LV,LAC,,0,,,,
2025_03_MIA_BUF,2025,3,BUF,MIA,0,0,,,,
2025_03_ATL_CAR,2025,3,CAR,ATL,0,0,,,,
2025_03_GB_CLE,2025,3,CLE,GB,0,-3,,,-3,
2025_03_HOU_JAX,2025,3,JAX,HOU,0,0,,,,
2025_03_CIN_MIN,2025,3,MIN,CIN,-2,-3,-2,,-3,
2025_03_PIT_NE,2025,3,NE,PIT,0,0,,,,
2025_03_LA_PHI,2025,3,PHI,LAR,0,0,,,,
2025_03_NYJ_TB,2025,3,TB,NYJ,-3,-2,-3,,-2,
2025_03_IND_TEN,2025,3,TEN,IND,0,0,,,,
2025_03_LV_WAS,2025,3,WAS,LV,-3,0,-3,,,
2025_03_DEN_LAC,2025,3,LAC,DEN,0,0,,,,
2025_03_NO_SEA,2025,3,SEA,NO,0,2,,2,,
2025_03_DAL_CHI,2025,3,CHI,DAL,0,0,,,,
2025_03_ARI_SF,2025,3,SF,ARI,-4,0,-4,,,
2025_03_KC_NYG,2025,3,NYG,KC,1,-1,,1,-2,1
2025_03_DET_BAL,2025,3,BAL,DET,0,0,,,,
2025_04_SEA_ARI,2025,4,ARI,SEA,0,0,,,,
2025_04_MIN_PIT,2025,4,PIT,MIN,0,-3,,,-3,
2025_04_WAS_ATL,2025,4,ATL,WAS,0,-6,,,-6,
2025_04_NO_BUF,2025,4,BUF,NO,0,0,,,,
2025_04_CLE_DET,2025,4,DET,CLE,0,0,,,,
2025_04_TEN_HOU,2025,4,HOU,TEN,0,0,,,,
2025_04_CAR_NE,2025,4,NE,CAR,0,0,,,,
2025_04_LAC_NYG,2025,4,NYG,LAC,0,0,,,,
2025_04_PHI_TB,2025,4,TB,PHI,-2,0,-2,,,
2025_04_IND_LA,2025,4,LAR,IND,0,0,,,,
