season,week,away_team,home_team,spread_line,total_line
2026,1,ARI,LAC,11.5,45.5
2026,1,ATL,PIT,3,42.5
2026,1,BAL,IND,-3.5,49.5
2026,1,BUF,HOU,-1.5,45.5
2026,1,CHI,CAR,-2.5,44.5
2026,1,CLE,JAX,7,40.5
2026,1,DAL,NYG,-2.5,48.5
2026,1,DEN,KC,2.5,42.5
2026,1,GB,MIN,-1.5,44.5
2026,1,MIA,LV,3,41.5
2026,1,NE,SEA,3.5,44.5
2026,1,NO,DET,7,48.5
2026,1,NYJ,TEN,3,39.5
2026,1,SF,LA,2.5,48.5
2026,1,TB,CIN,3.5,50.5
2026,1,WAS,PHI,5.5,46.5
2026,2,CAR,ATL,-1.5,44.5
2026,2,CIN,HOU,3,46.5
2026,2,CLE,TB,8.5,40.5
2026,2,DET,BUF,4.5,53.5
2026,2,GB,NYJ,-4.5,44.5
2026,2,IND,KC,6.5,48.5
2026,2,JAX,DEN,2.5,44.5
2026,2,LV,LAC,7,43.5
2026,2,MIA,SF,13.5,45.5
2026,2,MIN,CHI,5.5,49.5
2026,2,NO,BAL,8.5,47.5
2026,2,NYG,LA,7,48.5
2026,2,PHI,TEN,-7,39.5
2026,2,PIT,NE,5.5,41.5
2026,2,SEA,ARI,-4.5,41.5
2026,2,WAS,DAL,3.5,50.5
